描述,源Label,体积,目标Label,重复次数,枪头,重用次数,液体类型,源孔,目标孔
加试剂1,reagents_1,300,reaction1,1,200,12,reagent1,1-8,*
加样品,sample_1,200,reaction1,1,200,12,sample,*,*
震荡60s,,,,1,,,,,
加试剂2,reagents_2,100,reaction1,2,50,12,reagent2,1-8,*
震荡60s,,,,1,,,,,
磁性分离600s,,,,1,,,,,
去废液1,reaction1,600,waste1,1,200,12,sample,*,1-8
加试剂3,reagents_3,400,reaction1,1,200,12,reagent3,1-8,*
震荡60s,,,,1,,,,,
加试剂4,reagents_4,200,reaction1,1,200,12,reagent4,1-8,*
震荡60s,,,,1,,,,,
磁性分离300s,,,,1,,,,,
去废液2,reaction1,600,waste2,1,200,12,sample,*,1-8
加PCRMix,PCRMixtube,50,reaction1,1,200,12,PCRMix,1-2,*
震荡60s,,,,1,,,,,
转移PCRmix,reaction1,50,PCRPlate,1,200,12,sample,*,*
