SampleCnt,HBV,HCV
1,5,10
2,6,11
3,7,12
4,8,13
5,9,14
6,10,15
7,11,16
8,12,17
9,13,18
10,14,19
11,15,20
12,16,21
13,17,22
14,18,23
15,19,24
16,20,25
17,21,26
18,22,27
19,23,28
20,24,29
21,25,30
22,26,31
23,27,32
24,28,33
25,29,34
26,30,35
27,31,36
28,32,37
29,33,38
30,34,39
31,35,40
32,36,41
33,37,42
34,38,43
35,39,44
36,40,45
37,41,46
38,42,47
39,43,48
40,44,49
41,45,50
42,46,51
43,47,52
44,48,53
45,49,54
46,50,55
47,51,56
48,52,57
49,53,58
50,54,59
51,55,60
52,56,61
53,57,62
54,58,63
55,59,64
56,60,65
57,61,66
58,62,67
59,63,68
60,64,69
61,65,70
62,66,71
63,67,72
64,68,73
65,69,74
66,70,75
67,71,76
68,72,77
69,73,78
70,74,79
71,75,80
72,76,81
73,77,82
74,78,83
75,79,84
76,80,85
77,81,86
78,82,87
79,83,88
80,84,89
81,85,90
82,86,91
83,87,92
84,88,93
85,89,94
86,90,95
87,91,96
88,92,97
89,93,98
90,94,99
91,95,100
92,96,101
93,97,102
94,98,103
95,99,104
96,100,105
